epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5235,3.08029,93.803,1.08516,0,0,0,0,3.0791,53.7814,1.27295,8e-05,8e-05,8e-05
2,16.6329,3.27805,91.7297,1.18935,0,0,0,0,3.24817,35.2924,1.16602,0.000179822,0.000179822,0.000179822
3,22.3971,2.39345,32.6623,0.99253,0,0,0,0,2.75291,16.2811,0.95262,0.000279446,0.000279446,0.000279446
4,29.2237,2.24835,13.4301,0.85455,0.00028,0.08108,0.00019,5e-05,2.41359,12.4704,0.90109,0.000378871,0.000378871,0.000378871
5,34.5742,2.48574,13.0461,0.8789,0.00028,0.08108,0.00019,5e-05,2.27887,11.4938,0.88399,0.000478099,0.000478099,0.000478099
6,40.3365,2.54091,10.8005,0.85983,0.00028,0.08108,0.00019,5e-05,2.35863,11.6025,0.87968,0.000577129,0.000577129,0.000577129
7,45.6613,2.30455,7.9975,0.84026,0.00028,0.08108,0.00019,5e-05,2.06814,11.0239,0.83424,0.000675961,0.000675961,0.000675961
8,51.1912,2.31331,8.44607,0.86976,0.00028,0.08108,0.00019,5e-05,2.29086,11.1532,0.87302,0.000774595,0.000774595,0.000774595
9,56.516,2.27933,7.41887,0.86366,9e-05,0.02703,5e-05,0,2.0943,10.2139,0.84415,0.00087303,0.00087303,0.00087303
10,61.6635,2.2162,6.77073,0.85416,9e-05,0.02703,5e-05,0,2.11879,10.2179,0.85006,0.000971268,0.000971268,0.000971268
11,66.5041,2.0727,6.53777,0.83395,9e-05,0.02703,5e-05,0,1.9973,9.98416,0.84196,0.00106931,0.00106931,0.00106931
12,72.6739,2.11464,5.98322,0.85722,9e-05,0.02703,5e-05,0,2.01598,10.0718,0.85397,0.00116715,0.00116715,0.00116715
13,78.2301,2.17797,6.22088,0.86841,9e-05,0.02703,5e-05,0,1.98925,9.8532,0.85821,0.00126479,0.00126479,0.00126479
14,83.9075,1.99286,5.30394,0.8593,0.00019,0.05405,0.0001,3e-05,1.98793,9.53564,0.86229,0.00136224,0.00136224,0.00136224
15,89.2782,2.00422,4.86407,0.82947,0.00056,0.16216,0.00034,0.00019,2.00424,9.03494,0.8686,0.00145949,0.00145949,0.00145949
16,95.7911,2.10849,4.87735,0.86248,0.00148,0.43243,0.00122,0.00065,2.00351,7.09885,0.859,0.00155654,0.00155654,0.00155654
17,101.159,2.26131,5.24224,0.85052,0.00204,0.59459,0.00205,0.00106,2.0328,5.88184,0.85232,0.00165339,0.00165339,0.00165339
18,106.217,2.18568,4.62084,0.83786,0.00157,0.45946,0.00138,0.00066,1.94243,5.23239,0.84579,0.00175004,0.00175004,0.00175004
19,111.214,2.16056,4.1823,0.84293,0.00213,0.62162,0.00342,0.00187,2.02762,4.46663,0.84476,0.0018465,0.0018465,0.0018465
20,116.581,2.16424,4.21996,0.84233,0.00241,0.7027,0.30277,0.18544,1.82275,3.49872,0.83545,0.00194276,0.00194276,0.00194276
21,122.6,2.01246,3.70576,0.84829,0.00241,0.7027,0.29163,0.14869,2.09239,3.51301,0.84989,0.0019604,0.0019604,0.0019604
22,127.841,1.94148,3.40959,0.82739,0.00269,0.78378,0.43379,0.26868,1.69307,3.37625,0.83246,0.00195842,0.00195842,0.00195842
23,134.013,2.06086,3.28285,0.83875,1,0.20515,0.50867,0.28371,1.83827,3.33913,0.83807,0.00195644,0.00195644,0.00195644
24,139.701,1.85424,3.27455,0.83779,0.00232,0.67568,0.30769,0.14241,2.06784,3.9206,0.83884,0.00195446,0.00195446,0.00195446
25,145.078,1.87647,2.9085,0.83147,0.00245,0.59459,0.26144,0.15193,1.90155,4.10051,0.836,0.00195248,0.00195248,0.00195248
26,150.639,1.88785,2.91803,0.83875,1,0.20952,0.34247,0.15985,2.25595,3.65254,0.86509,0.0019505,0.0019505,0.0019505
