epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1872,1.50094,3.06059,1.26914,0.01322,0.1561,0.06295,0.03255,1.10892,3.58212,1.11888,0.000467977,0.000467977,0.000467977
2,34.9015,1.0925,1.1497,1.01046,0.99527,0.27971,0.49532,0.34874,1.00154,1.78451,0.95507,0.000943375,0.000943375,0.000943375
3,48.6072,0.96081,0.81084,0.98282,0.93443,0.49902,0.53062,0.40019,0.8862,0.73282,0.98881,0.00141783,0.00141783,0.00141783
4,68.6595,0.91825,0.75788,0.96549,0.93733,0.50321,0.52654,0.42809,0.72804,0.63841,0.92561,0.00142476,0.00142476,0.00142476
5,87.2776,0.86171,0.69689,0.95025,0.9569,0.51167,0.53921,0.42634,0.71623,0.60875,0.91199,0.00142334,0.00142334,0.00142334
6,103.851,0.79786,0.64822,0.92245,0.96884,0.5215,0.53522,0.42879,0.68827,0.54169,0.89955,0.00142193,0.00142193,0.00142193
7,114.633,0.76519,0.60898,0.91852,0.96102,0.52754,0.54048,0.45187,0.61518,0.51335,0.88552,0.00142051,0.00142051,0.00142051
8,131.147,0.72462,0.58424,0.90757,0.97375,0.5148,0.54029,0.45011,0.59969,0.51395,0.87979,0.0014191,0.0014191,0.0014191
9,145.851,0.71972,0.56208,0.90803,0.98378,0.54365,0.55266,0.46336,0.58408,0.47482,0.8763,0.00141768,0.00141768,0.00141768
10,164.983,0.7136,0.54609,0.90229,0.98552,0.52175,0.57916,0.48343,0.57114,0.45639,0.87951,0.00141627,0.00141627,0.00141627
11,180.878,0.66943,0.51816,0.89041,0.94238,0.5658,0.6091,0.50125,0.57569,0.42084,0.86913,0.00141485,0.00141485,0.00141485
12,200.538,0.64599,0.49573,0.88317,0.93935,0.62289,0.6312,0.51621,0.57376,0.40202,0.86606,0.00141344,0.00141344,0.00141344
13,211.912,0.63624,0.47915,0.88395,0.97375,0.62972,0.64568,0.525,0.54371,0.37984,0.86438,0.00141202,0.00141202,0.00141202
14,223.767,0.62511,0.4773,0.88115,0.94116,0.62086,0.63527,0.5285,0.51782,0.38446,0.85741,0.00141061,0.00141061,0.00141061
15,234.917,0.62571,0.46599,0.87991,0.96996,0.62565,0.64826,0.53031,0.57918,0.39681,0.86823,0.00140919,0.00140919,0.00140919
16,254.344,0.63375,0.46738,0.87992,0.99393,0.6246,0.65395,0.55156,0.51646,0.39027,0.85726,0.00140778,0.00140778,0.00140778
17,265.969,0.62371,0.46195,0.87837,0.992,0.63357,0.65313,0.54022,0.55165,0.37571,0.86109,0.00140636,0.00140636,0.00140636
18,277.313,0.64113,0.45366,0.87519,0.98099,0.64264,0.65976,0.55701,0.52733,0.36253,0.8552,0.00140495,0.00140495,0.00140495
19,289.35,0.59562,0.43224,0.873,0.98949,0.63252,0.65766,0.5641,0.49651,0.33871,0.851,0.00140354,0.00140354,0.00140354
20,307.335,0.57661,0.42614,0.86279,0.98705,0.63165,0.65159,0.5468,0.50972,0.35429,0.84981,0.00140212,0.00140212,0.00140212
21,319.605,0.59699,0.43001,0.86877,0.98081,0.65153,0.664,0.55203,0.50007,0.3461,0.84754,0.00140071,0.00140071,0.00140071
22,332.015,0.57226,0.41269,0.86034,0.98929,0.62674,0.75792,0.61119,0.47755,0.33904,0.84485,0.00139929,0.00139929,0.00139929
23,343.179,0.58403,0.41731,0.86492,0.99767,0.62775,0.82544,0.60866,0.58225,0.36644,0.86399,0.00139788,0.00139788,0.00139788
24,355.149,0.57387,0.40672,0.86156,0.99463,0.62408,0.83251,0.66586,0.46441,0.33274,0.84422,0.00139646,0.00139646,0.00139646
25,367.077,0.55405,0.39698,0.85706,0.98223,0.64214,0.81177,0.63277,0.46763,0.31443,0.844,0.00139505,0.00139505,0.00139505
26,378.513,0.54865,0.38828,0.85804,0.94107,0.75397,0.7996,0.62119,0.52515,0.32186,0.85011,0.00139363,0.00139363,0.00139363
27,391.784,0.57449,0.39556,0.85969,0.88189,0.74937,0.77998,0.62139,0.46791,0.31974,0.84548,0.00139222,0.00139222,0.00139222
28,403.873,0.55976,0.39181,0.85862,0.86387,0.77533,0.7957,0.64452,0.44782,0.30538,0.83691,0.0013908,0.0013908,0.0013908
29,416.465,0.53168,0.37716,0.84962,0.90322,0.77174,0.80485,0.61046,0.47368,0.32086,0.8424,0.00138939,0.00138939,0.00138939
30,428.885,0.52776,0.37254,0.85196,0.93873,0.77971,0.8077,0.64572,0.49164,0.31451,0.84747,0.00138797,0.00138797,0.00138797
31,441.079,0.55354,0.38773,0.85538,0.90277,0.78425,0.78997,0.61895,0.49212,0.32392,0.8452,0.00138656,0.00138656,0.00138656
32,453.483,0.54318,0.3835,0.85539,0.91671,0.80019,0.81426,0.64921,0.45294,0.30044,0.83597,0.00138514,0.00138514,0.00138514
33,466.073,0.52214,0.37037,0.85145,0.95872,0.75864,0.8102,0.6465,0.44052,0.30036,0.8369,0.00138373,0.00138373,0.00138373
34,479.368,0.52031,0.3699,0.8488,0.92797,0.772,0.80492,0.63626,0.43701,0.30021,0.83749,0.00138231,0.00138231,0.00138231
35,492.165,0.52802,0.3645,0.8501,0.9824,0.80247,0.81456,0.64452,0.46007,0.2999,0.83966,0.0013809,0.0013809,0.0013809
36,505.236,0.542,0.36629,0.85543,0.90037,0.79153,0.81257,0.63531,0.44171,0.29162,0.83825,0.00137949,0.00137949,0.00137949
