epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1747,2.07693,4.6496,1.74483,0.93663,0.12422,0.49605,0.33742,2.08207,5.13723,1.85596,2.858e-05,2.858e-05,2.858e-05
2,26.2113,2.08383,4.58583,1.76073,0.94877,0.12422,0.50434,0.34633,1.96131,5.10907,1.75097,7.13793e-05,7.13793e-05,7.13793e-05
3,36.5312,1.91691,4.34342,1.64242,0.8,0.18634,0.50718,0.36652,1.70385,4.42269,1.56438,0.000114094,0.000114094,0.000114094
4,45.9929,1.74609,3.59439,1.52988,0.75325,0.36025,0.58117,0.4265,1.51942,3.39629,1.40497,0.000156723,0.000156723,0.000156723
5,55.7515,1.61318,2.93557,1.4091,0.92317,0.55971,0.71121,0.46701,1.41021,2.0196,1.30692,0.000199268,0.000199268,0.000199268
6,65.1345,1.50982,2.31631,1.31814,0.86254,0.67081,0.77043,0.51775,1.34864,1.3409,1.26229,0.000241727,0.000241727,0.000241727
7,73.8571,1.40825,1.65151,1.25389,0.86497,0.75598,0.85091,0.56555,1.28987,0.95222,1.21591,0.000284102,0.000284102,0.000284102
8,83.8368,1.39775,1.18305,1.22205,0.84635,0.90666,0.9136,0.59791,1.29048,0.84532,1.18947,0.000326392,0.000326392,0.000326392
9,93.1326,1.28197,0.8213,1.13635,0.78921,0.94182,0.89161,0.57486,1.29299,0.9991,1.16028,0.000368597,0.000368597,0.000368597
10,102.134,1.2564,0.71705,1.12212,0.76227,0.93603,0.87443,0.54463,1.29947,1.05229,1.13303,0.000410718,0.000410718,0.000410718
11,112.906,1.17022,0.65442,1.07207,0.78948,0.91925,0.87721,0.5544,1.25994,0.97658,1.10263,0.000452753,0.000452753,0.000452753
12,122.388,1.16483,0.66744,1.07117,0.86214,0.91925,0.89585,0.60233,1.12915,0.83447,1.06697,0.000494703,0.000494703,0.000494703
13,131.158,1.07678,0.59448,1.04918,0.8776,0.95963,0.92364,0.59633,1.28367,0.7508,1.09867,0.000536569,0.000536569,0.000536569
14,140.738,1.06939,0.58406,1.02793,0.90608,0.96584,0.962,0.67902,1.0992,0.58888,1.04895,0.00057835,0.00057835,0.00057835
15,152.879,1.02781,0.55373,1.0105,0.94232,0.98447,0.97076,0.7147,0.97387,0.48939,1.0106,0.000620045,0.000620045,0.000620045
16,164.382,0.98471,0.53074,0.98093,0.94006,0.98447,0.97243,0.7168,1.04022,0.48661,1.01587,0.000661656,0.000661656,0.000661656
17,176.237,0.95638,0.51142,0.98539,0.93788,0.98758,0.97479,0.73502,1.00326,0.46778,1.00029,0.000703182,0.000703182,0.000703182
18,187.176,0.95062,0.50245,0.97027,0.93844,0.99423,0.97829,0.77123,0.89494,0.4253,0.9685,0.000744623,0.000744623,0.000744623
19,197.73,0.91882,0.51897,0.95841,0.9455,0.99379,0.9785,0.77877,0.86344,0.42145,0.9615,0.00078598,0.00078598,0.00078598
20,207.556,0.9552,0.49694,0.98898,0.94388,1,0.97809,0.78219,0.84903,0.413,0.95575,0.000827251,0.000827251,0.000827251
21,217.568,0.92416,0.48979,0.98184,0.94288,1,0.9783,0.77291,0.8811,0.41132,0.96159,0.000868438,0.000868438,0.000868438
22,227.234,0.91596,0.49826,0.97443,0.94326,1,0.97721,0.77251,0.87445,0.41154,0.9603,0.000909539,0.000909539,0.000909539
23,235.532,0.89279,0.48799,0.96592,0.94243,1,0.9771,0.78239,0.82264,0.39886,0.95041,0.000950556,0.000950556,0.000950556
24,244.679,0.88436,0.48054,0.9418,0.94419,0.99834,0.97865,0.78227,0.82945,0.39835,0.95718,0.000991488,0.000991488,0.000991488
25,254.896,0.90959,0.47941,0.95875,0.94408,0.99379,0.97851,0.78044,0.82028,0.39784,0.95376,0.00103233,0.00103233,0.00103233
26,263.356,0.86516,0.47834,0.95691,0.94583,0.99379,0.97747,0.76478,0.86913,0.41279,0.96556,0.0010731,0.0010731,0.0010731
27,273.298,0.9735,0.49859,0.97181,0.94575,0.99379,0.97862,0.76621,0.88208,0.41914,0.96834,0.00111377,0.00111377,0.00111377
28,283.264,0.95053,0.46867,0.96631,0.93964,0.99689,0.98178,0.79344,0.80873,0.39362,0.95158,0.00115437,0.00115437,0.00115437
29,292.719,0.84706,0.48024,0.9434,0.94404,0.99544,0.98364,0.77007,0.87704,0.40085,0.97241,0.00119487,0.00119487,0.00119487
30,301.544,0.8705,0.45143,0.95765,0.94684,0.99689,0.98566,0.76603,0.86571,0.39273,0.9689,0.0012353,0.0012353,0.0012353
31,311.456,0.84563,0.46518,0.94171,0.95506,0.98994,0.98519,0.79233,0.78711,0.37916,0.94337,0.00127563,0.00127563,0.00127563
32,321.436,0.88281,0.47252,0.94318,0.958,0.99173,0.98439,0.78751,0.784,0.37571,0.9456,0.00131589,0.00131589,0.00131589
33,329.475,0.82425,0.43026,0.93375,0.96086,0.99068,0.98623,0.77072,0.83895,0.38381,0.96255,0.00135605,0.00135605,0.00135605
34,339.616,0.85156,0.4539,0.93016,0.96936,0.98758,0.98784,0.77032,0.8797,0.39578,0.97071,0.00138231,0.00138231,0.00138231
35,348.467,0.88032,0.4567,0.95088,0.95918,0.98758,0.98559,0.80139,0.7866,0.38451,0.94151,0.0013809,0.0013809,0.0013809
36,357.188,0.85229,0.45899,0.93443,0.94062,1,0.98154,0.79006,0.79765,0.38214,0.93855,0.00137949,0.00137949,0.00137949
